epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.725,1.47332,1.80335,1.05648,0.94472,0.36252,0.64396,0.42293,1.35191,2.18369,1.0132,0.000647059,0.000647059,0.000647059
2,495.643,1.312,0.89544,0.99639,0.86889,0.71749,0.78531,0.47876,1.38116,1.2304,1.00984,0.00130072,0.00130072,0.00130072
3,741.767,1.27414,0.85148,0.98571,0.7915,0.68734,0.73239,0.40622,1.52429,1.14584,1.02727,0.00194118,0.00194118,0.00194118
4,982.998,1.26839,0.7959,0.98753,0.88487,0.75208,0.81975,0.50397,1.45944,0.89845,1.05075,0.0019406,0.0019406,0.0019406
5,1226.45,1.22312,0.75196,0.97171,0.89908,0.8057,0.8637,0.57336,1.294,0.77892,0.99241,0.0019208,0.0019208,0.0019208
6,1464.05,1.21641,0.78013,0.97413,0.88825,0.79128,0.84858,0.56161,1.24539,0.77806,0.99393,0.001901,0.001901,0.001901
7,1698.51,1.20823,0.74281,0.97236,0.90096,0.79653,0.86195,0.57374,1.25288,0.80823,0.97901,0.0018812,0.0018812,0.0018812
8,1935.63,1.19829,0.7339,0.96358,0.90404,0.81351,0.87008,0.59076,1.19687,0.71257,0.9633,0.0018614,0.0018614,0.0018614
9,2166.42,1.20656,0.72638,0.97334,0.8945,0.8203,0.87273,0.54992,1.41206,0.7299,1.02454,0.0018416,0.0018416,0.0018416
10,2400.17,1.20478,0.71538,0.96522,0.91266,0.82148,0.87717,0.59865,1.17495,0.72231,0.95851,0.0018218,0.0018218,0.0018218
11,2635.94,1.19812,0.69176,0.9653,0.84805,0.7665,0.82941,0.51843,1.28153,0.82493,0.99226,0.001802,0.001802,0.001802
12,2875.4,1.20349,0.68664,0.96499,0.88351,0.79908,0.85638,0.55582,1.35542,0.73399,1.01602,0.0017822,0.0017822,0.0017822
13,3112.89,1.18679,0.68204,0.96619,0.8471,0.77159,0.83361,0.53706,1.31521,0.82401,1.00212,0.0017624,0.0017624,0.0017624
14,3374.65,1.19972,0.69883,0.96147,0.90484,0.81283,0.86971,0.56499,1.33176,0.70129,0.99224,0.0017426,0.0017426,0.0017426
15,3612.85,1.16232,0.6819,0.95957,0.90897,0.81911,0.87746,0.58255,1.26885,0.67132,0.99115,0.0017228,0.0017228,0.0017228
16,3850.82,1.18159,0.68651,0.95584,0.90306,0.81571,0.87713,0.58274,1.26046,0.70266,0.9843,0.001703,0.001703,0.001703
17,4106.07,1.17412,0.67412,0.96018,0.89735,0.82165,0.87639,0.58135,1.30941,0.69458,0.99821,0.0016832,0.0016832,0.0016832
18,4357.2,1.14195,0.66104,0.95155,0.8917,0.80502,0.86982,0.58462,1.22916,0.68688,0.97104,0.0016634,0.0016634,0.0016634
19,4606.59,1.13527,0.644,0.9524,0.90056,0.82368,0.88431,0.60413,1.20653,0.66603,0.96572,0.0016436,0.0016436,0.0016436
20,4863.82,1.17391,0.65342,0.95759,0.89688,0.83489,0.88441,0.59365,1.24563,0.65719,0.98501,0.0016238,0.0016238,0.0016238
21,5120.35,1.15499,0.63684,0.94879,0.91829,0.8281,0.88776,0.60841,1.1586,0.64937,0.9489,0.001604,0.001604,0.001604
22,5391.25,1.12792,0.63076,0.94569,0.89516,0.83285,0.88372,0.60628,1.22605,0.64346,0.97127,0.0015842,0.0015842,0.0015842
